epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4572,1.00221,2.60497,3.86161,1.32743,0.54029,0.41832,0.27895,0.21535,0.54029,0.41832,0.27895,0.21518,0.77524,2.52842,3.01194,1.04169,2.668e-05,2.668e-05,2.668e-05
2,71.3102,0.85433,1.79653,3.07013,1.20496,0.60153,0.47222,0.4115,0.29895,0.60153,0.47222,0.4115,0.31737,0.60491,2.23675,4.74126,1.00258,5.94357e-05,5.94357e-05,5.94357e-05
3,108.195,0.8005,1.60299,2.80226,1.17719,0.17122,0.38889,0.20489,0.16742,0.17122,0.38889,0.20489,0.15601,0.72171,2.43783,9.36208,1.13236,9.15311e-05,9.15311e-05,9.15311e-05
4,148.259,0.72249,1.33916,2.44174,1.09552,0.32719,0.18056,0.17517,0.15336,0.32719,0.18056,0.17517,0.12641,0.89984,2.69791,7.88256,1.16154,0.000122966,0.000122966,0.000122966
5,189.195,0.6143,1.11584,1.83984,1.01372,0.23785,0.68325,0.49216,0.41125,0.23785,0.68325,0.49216,0.33647,0.94455,2.89706,3.81879,1.20622,0.000153741,0.000153741,0.000153741
6,230.188,0.68963,1.25633,1.78837,1.04952,0.49158,0.47222,0.50612,0.41695,0.49158,0.47222,0.49571,0.33342,0.97957,2.88204,3.10977,1.16898,0.000183855,0.000183855,0.000183855
7,270.905,0.60887,1.34779,1.56353,1.00908,0.69001,0.54448,0.6124,0.45859,0.69001,0.54448,0.59511,0.39907,1.04743,2.99023,3.10101,1.19734,0.000213309,0.000213309,0.000213309
8,311.22,0.60002,1.02762,1.47235,0.99996,0.68735,0.55556,0.57307,0.40556,0.68735,0.55556,0.48585,0.31894,1.01997,3.0378,3.08521,1.23843,0.000242103,0.000242103,0.000242103
9,350.83,0.6095,1.01595,1.41278,1.01041,0.4772,0.55556,0.58207,0.42141,0.4772,0.55556,0.49107,0.34338,0.96155,2.96346,3.2923,1.29499,0.000270236,0.000270236,0.000270236
10,391.661,0.56073,0.92875,1.29564,0.94352,0.43955,0.70228,0.48765,0.34513,0.37616,0.63889,0.42877,0.31008,0.92651,3.1152,3.61354,1.2466,0.000297709,0.000297709,0.000297709
11,431.766,0.53097,0.89073,1.16879,0.97262,0.30508,0.57183,0.39127,0.3485,0.30508,0.57183,0.38255,0.30283,0.87918,3.01788,3.36694,1.18715,0.000324522,0.000324522,0.000324522
12,473.885,0.51793,0.85294,1.12284,0.94283,0.23297,0.6083,0.38765,0.33843,0.23297,0.6083,0.3813,0.29831,0.96768,3.06164,3.00931,1.26593,0.000350675,0.000350675,0.000350675
13,512.67,0.89147,1.31205,1.98177,1.19658,0.18434,0.50432,0.34176,0.28092,0.18434,0.50432,0.33547,0.24835,1.04676,3.25703,2.9532,1.31117,0.000376167,0.000376167,0.000376167
14,552.88,0.58932,0.98778,1.19858,0.98123,0.18434,0.50432,0.34176,0.28092,0.18434,0.50432,0.33547,0.24835,1.04676,3.25703,2.9532,1.31117,0.000400998,0.000400998,0.000400998
15,602.879,0.51281,0.73081,1.01496,0.93541,0.41234,0.52379,0.35464,0.28231,0.41234,0.52379,0.3307,0.2476,1.06215,2.86835,3.01298,1.3487,0.00042517,0.00042517,0.00042517
16,659.27,0.52477,0.80865,0.94142,0.92441,0.26239,0.55312,0.39353,0.2842,0.26239,0.55312,0.38269,0.26548,1.10074,2.97415,3.25346,1.41059,0.000448681,0.000448681,0.000448681
17,716.649,0.517,0.76005,0.9371,0.94982,0.31613,0.68142,0.37461,0.29495,0.31613,0.68142,0.37545,0.25176,1.15362,3.06212,3.4384,1.48585,0.000471532,0.000471532,0.000471532
18,793.266,0.49348,0.74263,0.97544,0.94979,0.31613,0.68142,0.37461,0.29495,0.31613,0.68142,0.37545,0.25176,1.15362,3.06212,3.4384,1.48585,0.000493722,0.000493722,0.000493722
19,833.44,0.52271,0.89421,0.87408,0.92398,0.25266,0.44105,0.39055,0.32083,0.25266,0.44105,0.39055,0.25713,1.14405,3.14313,3.54341,1.47687,0.000515252,0.000515252,0.000515252
20,875.084,0.52228,0.80373,0.89918,0.93263,0.23794,0.43056,0.27708,0.225,0.23794,0.43056,0.27708,0.20645,1.12245,2.98695,3.35646,1.42011,0.000536122,0.000536122,0.000536122
21,916.081,0.51251,0.74779,0.89669,0.90361,0.23794,0.43056,0.27708,0.225,0.23794,0.43056,0.27708,0.20645,1.12245,2.98695,3.35646,1.42011,0.000534934,0.000534934,0.000534934
22,955.605,0.52212,0.77493,0.8986,0.93485,0.67749,0.30556,0.2476,0.18744,0.67749,0.30556,0.24358,0.17893,1.09905,2.95307,3.17578,1.39332,0.000528331,0.000528331,0.000528331
23,995.741,0.48423,0.73423,0.86191,0.8966,0.67737,0.30556,0.23607,0.16223,0.67737,0.30556,0.23358,0.17007,1.11025,3.06654,3.19266,1.41316,0.000521727,0.000521727,0.000521727
24,1035.43,0.49759,0.73788,0.7821,0.89163,0.67737,0.30556,0.23607,0.16223,0.67737,0.30556,0.23358,0.17007,1.11025,3.06654,3.19266,1.41316,0.000515124,0.000515124,0.000515124
25,1073.89,0.49231,0.66972,0.71972,0.88848,0.74749,0.30556,0.32467,0.22021,0.74749,0.30556,0.32467,0.22231,1.10692,2.89821,3.1809,1.41552,0.000508521,0.000508521,0.000508521
26,1106.15,0.52728,0.75042,0.90693,0.97859,0.74749,0.30556,0.32467,0.22021,0.74749,0.30556,0.32467,0.22231,1.10692,2.89821,3.1809,1.41552,0.000501917,0.000501917,0.000501917
27,1139.54,0.48846,0.6884,0.7886,0.89369,0.58299,0.43056,0.34673,0.23602,0.58299,0.43056,0.34405,0.2409,1.27493,2.89388,3.27795,1.58036,0.000495314,0.000495314,0.000495314
28,1171.97,0.55946,0.96781,1.02719,0.94765,0.6483,0.43056,0.36551,0.25395,0.6483,0.43056,0.36288,0.25155,1.36006,3.12721,3.24143,1.70221,0.000488711,0.000488711,0.000488711
29,1203.8,0.44882,0.66204,0.73576,0.89165,0.6483,0.43056,0.36551,0.25395,0.6483,0.43056,0.36288,0.25155,1.36006,3.12721,3.24143,1.70221,0.000482108,0.000482108,0.000482108
30,1235.52,0.44256,0.64651,0.73652,0.88601,0.65611,0.51389,0.42329,0.31865,0.65611,0.51389,0.42329,0.30872,1.23578,3.44563,2.85153,1.58512,0.000475504,0.000475504,0.000475504
31,1267.39,0.47502,0.63329,0.67809,0.92227,0.31846,0.54447,0.4342,0.35313,0.31846,0.54447,0.4342,0.31342,1.09614,3.50731,2.62233,1.47836,0.000468901,0.000468901,0.000468901
32,1298.6,0.43474,0.69911,0.83162,0.90966,0.31846,0.54447,0.4342,0.35313,0.31846,0.54447,0.4342,0.31342,1.09614,3.50731,2.62233,1.47836,0.000462298,0.000462298,0.000462298
33,1329.31,0.41637,0.59437,0.6137,0.90145,0.4959,0.43056,0.43964,0.36613,0.4959,0.43056,0.43964,0.317,1.19637,3.45639,2.79121,1.54367,0.000455694,0.000455694,0.000455694
34,1360.93,0.3921,0.59027,0.65288,0.87332,0.4959,0.43056,0.43964,0.36613,0.4959,0.43056,0.43964,0.317,1.19637,3.45639,2.79121,1.54367,0.000449091,0.000449091,0.000449091
35,1392.14,0.40295,0.59847,0.60974,0.86786,0.34274,0.53946,0.4501,0.36837,0.34274,0.53946,0.4501,0.32161,1.21922,3.49589,2.9302,1.62919,0.000442488,0.000442488,0.000442488
36,1423.34,0.42469,0.61834,0.68189,0.86864,0.75647,0.38889,0.39046,0.31519,0.75647,0.38889,0.39046,0.26884,1.18029,3.62072,3.04902,1.54314,0.000435884,0.000435884,0.000435884
37,1454.19,0.45681,0.72823,0.72165,0.92355,0.75647,0.38889,0.39046,0.31519,0.75647,0.38889,0.39046,0.26884,1.18029,3.62072,3.04902,1.54314,0.000429281,0.000429281,0.000429281
38,1485.12,0.4371,0.62839,0.75002,0.90137,0.78504,0.38889,0.35865,0.33628,0.78504,0.38889,0.35865,0.26273,1.07304,3.50031,3.57158,1.36101,0.000422678,0.000422678,0.000422678
39,1516.52,0.4072,0.56953,0.55373,0.88019,0.74684,0.38889,0.40942,0.38325,0.74684,0.38889,0.40942,0.30679,0.97048,3.31621,3.60616,1.32054,0.000416075,0.000416075,0.000416075
40,1546.45,0.42063,0.62957,0.64687,0.91954,0.74684,0.38889,0.40942,0.38325,0.74684,0.38889,0.40942,0.30679,0.97048,3.31621,3.60616,1.32054,0.000409471,0.000409471,0.000409471
41,1577.41,0.38698,0.55137,0.54324,0.88035,0.34687,0.38889,0.41146,0.3699,0.34687,0.38889,0.41146,0.29477,0.96579,3.24499,3.38522,1.31387,0.000402868,0.000402868,0.000402868
42,1608.83,0.37748,0.58197,0.51026,0.88197,0.34687,0.38889,0.41146,0.3699,0.34687,0.38889,0.41146,0.29477,0.96579,3.24499,3.38522,1.31387,0.000396265,0.000396265,0.000396265
43,1640.74,0.41096,0.55949,0.53062,0.87791,0.53915,0.43079,0.42234,0.33745,0.53915,0.43079,0.42234,0.28455,1.06406,3.33929,3.15016,1.41082,0.000389661,0.000389661,0.000389661
44,1673.33,0.37282,0.5342,0.4746,0.84717,0.53412,0.48825,0.44865,0.34994,0.53412,0.48825,0.44865,0.30786,1.24037,3.47096,3.08903,1.54405,0.000383058,0.000383058,0.000383058
45,1704.91,0.38995,0.56312,0.54945,0.87729,0.53412,0.48825,0.44865,0.34994,0.53412,0.48825,0.44865,0.30786,1.24037,3.47096,3.08903,1.54405,0.000376455,0.000376455,0.000376455
46,1737.15,0.38678,0.56923,0.48362,0.88781,0.5235,0.44444,0.46249,0.37019,0.5235,0.44444,0.46249,0.32269,1.29414,3.4918,2.98231,1.59123,0.000369851,0.000369851,0.000369851
47,1769.15,0.42941,0.66994,0.58369,0.88203,0.60701,0.44444,0.43375,0.35285,0.60701,0.44444,0.43192,0.29756,1.37515,3.60352,3.02632,1.61736,0.000363248,0.000363248,0.000363248
48,1801.61,0.34867,0.55616,0.48758,0.87548,0.60701,0.44444,0.43375,0.35285,0.60701,0.44444,0.43192,0.29756,1.37515,3.60352,3.02632,1.61736,0.000356645,0.000356645,0.000356645
49,1832.49,0.37777,0.59181,0.60969,0.8776,0.80027,0.44444,0.45765,0.34546,0.80027,0.44444,0.45581,0.30343,1.33859,3.84145,2.9641,1.64837,0.000350042,0.000350042,0.000350042
50,1862.23,0.4538,0.70168,0.58141,0.91892,0.80027,0.44444,0.45765,0.34546,0.80027,0.44444,0.45581,0.30343,1.33859,3.84145,2.9641,1.64837,0.000343438,0.000343438,0.000343438
51,1892.77,0.38419,0.55489,0.46166,0.8821,0.81182,0.44444,0.46589,0.36205,0.81182,0.44444,0.4628,0.29724,1.17885,3.93943,2.87725,1.54965,0.000336835,0.000336835,0.000336835
